image_id,Standard,CdnCount,CdnPercent
103_LdLeanColor,CdnStd0,1124,0.159
103_LdLeanColor,CdnStd1,2957,0.419
103_LdLeanColor,CdnStd2,34312,4.865
103_LdLeanColor,CdnStd3,390645,55.384
103_LdLeanColor,CdnStd4,269072,38.148
103_LdLeanColor,CdnStd5,7225,1.024
103_LdLeanColor,CdnStd6,9,0.001
1301_LdLeanColor,CdnStd0,0,0.0
1301_LdLeanColor,CdnStd1,3,0.0003571
1301_LdLeanColor,CdnStd2,2651,0.316
1301_LdLeanColor,CdnStd3,43256,5.149
1301_LdLeanColor,CdnStd4,423049,50.36
1301_LdLeanColor,CdnStd5,325982,38.805
1301_LdLeanColor,CdnStd6,45101,5.369
